Date,"Close Price"
"2018-02-08 00:01:00",7589.29
"2018-02-08 00:02:00",7633.08
"2018-02-08 00:03:00",7620.78
"2018-02-08 00:04:00",7633.31
"2018-02-08 00:05:00",7678.23
"2018-02-08 00:06:00",7674.43
"2018-02-08 00:07:00",7694.02
"2018-02-08 00:08:00",7688.78
"2018-02-08 00:09:00",7693.72
"2018-02-08 00:10:00",7714.91
"2018-02-08 00:11:00",7701.08
"2018-02-08 00:12:00",7692.24
"2018-02-08 00:13:00",7700.29
"2018-02-08 00:14:00",7708.99
"2018-02-08 00:15:00",7674.11
"2018-02-08 00:16:00",7688.71
"2018-02-08 00:17:00",7724.3
"2018-02-08 00:18:00",7744.26
"2018-02-08 00:19:00",7773.49
"2018-02-08 00:20:00",7768.93
"2018-02-08 00:21:00",7794.27
"2018-02-08 00:22:00",7800.75
"2018-02-08 00:23:00",7782.67
"2018-02-08 00:24:00",7781.3
"2018-02-08 00:25:00",7806.51
"2018-02-08 00:26:00",7819.72
"2018-02-08 00:27:00",7812.29
"2018-02-08 00:28:00",7785.32
"2018-02-08 00:29:00",7784.03
"2018-02-08 00:30:00",7786.21
"2018-02-08 00:31:00",7776.67
"2018-02-08 00:32:00",7744.95
"2018-02-08 00:33:00",7742.37
"2018-02-08 00:34:00",7731.9
"2018-02-08 00:35:00",7744.99
"2018-02-08 00:36:00",7745.19
"2018-02-08 00:37:00",7745.92
"2018-02-08 00:38:00",7708.92
"2018-02-08 00:39:00",7730.19
"2018-02-08 00:40:00",7720.88
"2018-02-08 00:41:00",7730.05
"2018-02-08 00:42:00",7718.51
"2018-02-08 00:43:00",7735.48
"2018-02-08 00:44:00",7750.7
"2018-02-08 00:45:00",7763.63
"2018-02-08 00:46:00",7775.47
"2018-02-08 00:47:00",7777.44
"2018-02-08 00:48:00",7780.23
"2018-02-08 00:49:00",7763.9
"2018-02-08 00:50:00",7773.13
"2018-02-08 00:51:00",7771.58
"2018-02-08 00:52:00",7757.12
